epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,822.559,1.42491,1.32733,1.3896,0.47033,0.41727,0.39233,0.21194,1.64617,1.82928,1.59387,0.0007294,0.0007294,0.0007294
43,841.06,1.41357,1.27436,1.37486,0.49581,0.45132,0.44238,0.23854,1.62753,1.71093,1.57314,0.0007228,0.0007228,0.0007228
44,859.715,1.42251,1.29153,1.38134,0.48145,0.45321,0.43028,0.23329,1.62248,1.70215,1.57527,0.0007162,0.0007162,0.0007162
45,878.531,1.41839,1.27249,1.37294,0.47304,0.43778,0.42589,0.23244,1.61539,1.75385,1.55128,0.0007096,0.0007096,0.0007096
46,897.046,1.39435,1.24741,1.35614,0.48646,0.48299,0.46576,0.24614,1.66377,1.64476,1.62856,0.000703,0.000703,0.000703
47,915.557,1.40693,1.26622,1.36676,0.48925,0.42896,0.43832,0.23567,1.62139,1.69614,1.57946,0.0006964,0.0006964,0.0006964
48,934.15,1.40215,1.24061,1.35803,0.45831,0.45723,0.42602,0.23314,1.64783,1.7324,1.58368,0.0006898,0.0006898,0.0006898
49,952.859,1.3901,1.22295,1.3636,0.47421,0.46779,0.43117,0.23319,1.63324,1.78511,1.59912,0.0006832,0.0006832,0.0006832
50,971.403,1.38106,1.21378,1.35673,0.51225,0.45817,0.45722,0.24789,1.62673,1.67895,1.57093,0.0006766,0.0006766,0.0006766
51,989.956,1.37207,1.22334,1.34746,0.50561,0.46389,0.44895,0.24061,1.64642,1.68006,1.5864,0.00067,0.00067,0.00067
52,1008.53,1.36912,1.20226,1.34671,0.51438,0.47462,0.45372,0.24558,1.61587,1.66153,1.56717,0.0006634,0.0006634,0.0006634
53,1027.4,1.37672,1.19073,1.34346,0.53766,0.44829,0.45929,0.24722,1.63037,1.702,1.58648,0.0006568,0.0006568,0.0006568
54,1045.93,1.37849,1.1868,1.345,0.49708,0.48488,0.45755,0.25012,1.60071,1.66059,1.55053,0.0006502,0.0006502,0.0006502
55,1065.9,1.36948,1.16447,1.33786,0.48621,0.45027,0.45548,0.2461,1.66824,1.77952,1.61867,0.0006436,0.0006436,0.0006436
56,1084.49,1.35179,1.17002,1.32561,0.48194,0.47161,0.45705,0.245,1.6316,1.62213,1.56901,0.000637,0.000637,0.000637
57,1103.05,1.35015,1.14654,1.33002,0.50783,0.48107,0.47461,0.25676,1.61851,1.64501,1.56477,0.0006304,0.0006304,0.0006304
58,1121.64,1.35837,1.17282,1.32608,0.48751,0.45217,0.43362,0.23051,1.65451,1.7283,1.59879,0.0006238,0.0006238,0.0006238
59,1140.49,1.35459,1.15569,1.32526,0.50254,0.42974,0.43722,0.23564,1.65462,1.67004,1.58635,0.0006172,0.0006172,0.0006172
60,1158.97,1.34216,1.14342,1.31379,0.48209,0.46527,0.45446,0.24331,1.63996,1.65281,1.58654,0.0006106,0.0006106,0.0006106
61,1177.57,1.34053,1.12603,1.31241,0.50389,0.48973,0.47882,0.25714,1.63308,1.61882,1.58292,0.000604,0.000604,0.000604
62,1196.87,1.32553,1.12447,1.30794,0.49571,0.50064,0.47846,0.25736,1.67497,1.63426,1.61604,0.0005974,0.0005974,0.0005974
63,1216.27,1.3267,1.13657,1.31063,0.48878,0.47399,0.45697,0.24636,1.64719,1.656,1.59279,0.0005908,0.0005908,0.0005908
64,1235,1.3236,1.10362,1.30915,0.49352,0.49047,0.48916,0.26152,1.64629,1.57319,1.59795,0.0005842,0.0005842,0.0005842
65,1253.62,1.33345,1.10391,1.31094,0.4814,0.48984,0.46405,0.2482,1.66139,1.63766,1.58976,0.0005776,0.0005776,0.0005776
66,1272.72,1.32008,1.09414,1.2983,0.53801,0.45485,0.47549,0.24991,1.66061,1.64021,1.60482,0.000571,0.000571,0.000571
67,1291.33,1.31243,1.0966,1.30156,0.52938,0.45937,0.47276,0.25493,1.6511,1.64056,1.60489,0.0005644,0.0005644,0.0005644
68,1310.36,1.32831,1.09513,1.30487,0.53393,0.47484,0.47148,0.25205,1.64578,1.65543,1.58346,0.0005578,0.0005578,0.0005578
69,1329.61,1.30359,1.07985,1.29918,0.47594,0.50923,0.47813,0.25643,1.66173,1.55061,1.60734,0.0005512,0.0005512,0.0005512
70,1348.74,1.33106,1.09012,1.29988,0.51074,0.47535,0.47292,0.25492,1.66665,1.63037,1.60295,0.0005446,0.0005446,0.0005446
71,1367.51,1.30366,1.06759,1.28338,0.49366,0.48618,0.47272,0.25414,1.65299,1.62952,1.59846,0.000538,0.000538,0.000538
72,1385.96,1.2968,1.05273,1.28728,0.55317,0.46666,0.48317,0.25613,1.6676,1.64579,1.61961,0.0005314,0.0005314,0.0005314
73,1404.55,1.28738,1.05403,1.27745,0.53488,0.45851,0.46608,0.24465,1.65691,1.68149,1.60302,0.0005248,0.0005248,0.0005248
74,1423.22,1.30897,1.06254,1.28922,0.48333,0.50606,0.48598,0.25524,1.67697,1.57732,1.60087,0.0005182,0.0005182,0.0005182
75,1441.85,1.28026,1.05191,1.28125,0.47868,0.49041,0.4663,0.25083,1.65392,1.6425,1.58701,0.0005116,0.0005116,0.0005116
76,1460.7,1.27901,1.03195,1.27317,0.49354,0.48497,0.4611,0.24585,1.67851,1.69039,1.61116,0.000505,0.000505,0.000505
77,1479.67,1.25708,1.0102,1.25902,0.51598,0.45003,0.45829,0.24825,1.66465,1.68516,1.60842,0.0004984,0.0004984,0.0004984
78,1498.21,1.26472,1.02796,1.26382,0.51036,0.51098,0.48452,0.26311,1.6678,1.62093,1.59809,0.0004918,0.0004918,0.0004918
79,1517.12,1.26591,1.00722,1.26102,0.50817,0.48771,0.47563,0.26286,1.6512,1.64338,1.60701,0.0004852,0.0004852,0.0004852
80,1536.16,1.25926,0.99762,1.25864,0.53235,0.47006,0.48723,0.26354,1.66796,1.66734,1.6002,0.0004786,0.0004786,0.0004786
81,1554.85,1.27156,1.01709,1.26234,0.49477,0.50157,0.47733,0.25491,1.66744,1.62181,1.60382,0.000472,0.000472,0.000472
82,1573.36,1.26433,1.00635,1.26693,0.55198,0.46413,0.49179,0.26287,1.66061,1.63348,1.59374,0.0004654,0.0004654,0.0004654
83,1591.9,1.24175,0.98672,1.24982,0.50584,0.49547,0.4808,0.25224,1.68483,1.63105,1.62987,0.0004588,0.0004588,0.0004588
84,1611.1,1.23986,0.97865,1.24698,0.47433,0.50513,0.47607,0.26013,1.65885,1.6156,1.60385,0.0004522,0.0004522,0.0004522
85,1629.63,1.24651,0.97977,1.25125,0.49817,0.49537,0.47678,0.25928,1.66747,1.63338,1.61983,0.0004456,0.0004456,0.0004456
86,1648.35,1.24331,0.98278,1.2533,0.51506,0.49267,0.48422,0.26016,1.65876,1.63511,1.61526,0.000439,0.000439,0.000439
87,1667.09,1.24351,0.98187,1.24588,0.54281,0.44333,0.46841,0.25276,1.65953,1.64134,1.6116,0.0004324,0.0004324,0.0004324
88,1685.98,1.22504,0.95092,1.23352,0.56609,0.46098,0.49061,0.26396,1.67157,1.63,1.60944,0.0004258,0.0004258,0.0004258
89,1704.87,1.23493,0.96042,1.23982,0.50263,0.48863,0.47115,0.25493,1.68594,1.64878,1.61471,0.0004192,0.0004192,0.0004192
90,1723.64,1.23102,0.94011,1.23715,0.52634,0.48704,0.49653,0.26003,1.69917,1.60294,1.61471,0.0004126,0.0004126,0.0004126
91,1742.08,1.22095,0.95228,1.23017,0.523,0.49652,0.49317,0.26534,1.66949,1.58362,1.61923,0.000406,0.000406,0.000406
92,1760.81,1.21158,0.92989,1.22525,0.53055,0.48845,0.48952,0.26178,1.65975,1.59622,1.59562,0.0003994,0.0003994,0.0003994
93,1779.49,1.20844,0.93083,1.22537,0.54164,0.45763,0.47481,0.25464,1.67878,1.64952,1.60771,0.0003928,0.0003928,0.0003928
